dist,value
1882,2644.110107421875
1883,2644.298095703125
1884,2644.364013671875
1885,2644.464111328125
1886,2644.382080078125
1887,2644.45703125
1888,2644.47802734375
1889,2644.614990234375
1890,2644.948974609375
1891,2644.89794921875
1892,2645.096923828125
1893,2645.425048828125
1894,2645.85009765625
1895,2646.174072265625
1896,2646.27587890625
1897,2646.700927734375
1898,2646.8291015625
1899,2646.81201171875
1900,2646.80908203125
1901,2646.80908203125
1902,2646.886962890625
1903,2646.85107421875
1904,2646.889892578125
1905,2646.781982421875
1906,2646.781982421875
1907,2646.903076171875
1908,2646.818115234375
1909,2646.909912109375
1910,2646.93994140625
1911,2646.907958984375
1912,2646.9951171875
1913,2647.097900390625
1914,2647.51708984375
1915,2647.73193359375
1916,2648.06201171875
1917,2648.323974609375
1918,2648.6669921875
1919,2648.94189453125
1920,2648.93701171875
1921,2649.097900390625
1922,2649.10888671875
1923,2649.18798828125
1924,2649.248046875
1925,2649.548095703125
1926,2650.06396484375
1927,2650.930908203125
1928,2651.201904296875
1929,2651.570068359375
1930,2652.27099609375
1931,2652.85498046875
1932,2653.59912109375
1933,2653.85302734375
1934,2653.85302734375
1935,2654.028076171875
1936,2653.972900390625
1937,2654.02001953125
1938,2654.160888671875
1939,2654.160888671875
1940,2654.302978515625
1941,2654.306884765625
1942,2654.47802734375
1943,2654.639892578125
1944,2654.639892578125
1945,2654.763916015625
1946,2654.865966796875
1947,2654.9609375
1948,2654.906982421875
1949,2654.9951171875
1950,2655.156005859375
1951,2655.2109375
1952,2655.530029296875
1953,2655.64208984375
1954,2655.760986328125
1955,2655.992919921875
1956,2656.12109375
1957,2656.35400390625
1958,2656.4560546875
1959,2656.5869140625
1960,2656.7919921875
1961,2656.865966796875
1962,2657.208984375
1963,2657.258056640625
1964,2657.347900390625
1965,2657.52099609375
1966,2657.758056640625
1967,2657.929931640625
1968,2658.197998046875
1969,2658.430908203125
1970,2658.464111328125
1971,2658.466064453125
1972,2658.466064453125
1973,2658.30908203125
1974,2658.287109375
1975,2658.376953125
1976,2658.447021484375
1977,2658.447021484375
1978,2658.365966796875
1979,2658.43798828125
1980,2658.50390625
1981,2658.5458984375
1982,2658.5458984375
1983,2658.81396484375
1984,2658.89111328125
1985,2659.06298828125
1986,2659.208984375
1987,2659.208984375
1988,2659.52099609375
1989,2659.64697265625
1990,2659.944091796875
1991,2660.243896484375
1992,2660.469970703125
1993,2660.7470703125
1994,2660.865966796875
1995,2660.916015625
1996,2660.779052734375
1997,2660.791015625
1998,2660.843994140625
1999,2660.657958984375
2000,2660.636962890625
2001,2660.635009765625
2002,2661.049072265625
2003,2661.3740234375
2004,2661.698974609375
2005,2662.095947265625
2006,2662.02392578125
2007,2662.4208984375
2008,2662.74609375
2009,2663.595947265625
2010,2664.5029296875
2011,2664.4951171875
2012,2665.488037109375
2013,2666.448974609375
2014,2667.093994140625
2015,2667.093994140625
2016,2667.738037109375
2017,2668.1640625
2018,2668.697021484375
2019,2669.22900390625
2020,2669.22900390625
2021,2669.574951171875
2022,2669.6640625
2023,2669.7880859375
2024,2670.055908203125
2025,2670.055908203125
2026,2670.279052734375
2027,2670.493896484375
2028,2670.56396484375
2029,2670.873046875
2030,2670.873046875
2031,2671.31298828125
2032,2671.568115234375
2033,2671.554931640625
2034,2671.7470703125
2035,2671.819091796875
2036,2672.0859375
2037,2672.280029296875
2038,2672.033935546875
2039,2672.14306640625
2040,2672.011962890625
2041,2672.508056640625
2042,2673.0048828125
2043,2673.160888671875
2044,2673.472900390625
2045,2673.73095703125
2046,2675.093994140625
2047,2676.469970703125
2048,2677.114013671875
2049,2677.846923828125
2050,2678.50390625
2051,2679.89501953125
2052,2681.27197265625
2053,2681.678955078125
2054,2681.7041015625
2055,2681.925048828125
2056,2682.126953125
2057,2682.3720703125
2058,2682.3720703125
2059,2682.653076171875
2060,2682.969970703125
2061,2683.26611328125
2062,2683.529052734375
2063,2683.529052734375
2064,2683.79296875
2065,2684.01904296875
2066,2684.2900390625
2067,2684.305908203125
2068,2684.305908203125
2069,2684.322021484375
2070,2684.25390625
2071,2684.47509765625
2072,2684.56591796875
2073,2684.56591796875
2074,2684.656982421875
2075,2684.739013671875
2076,2685.02392578125
2077,2684.760009765625
2078,2685.044921875
2079,2685.06298828125
2080,2685.08203125
2081,2685.35791015625
2082,2685.02197265625
2083,2685.333984375
2084,2685.403076171875
2085,2685.51806640625
2086,2685.926025390625
2087,2685.737060546875
2088,2685.985107421875
2089,2686.4189453125
2090,2686.721923828125
2091,2687.18310546875
2092,2687.031982421875
2093,2687.115966796875
2094,2687.428955078125
2095,2687.5791015625
2096,2687.5791015625
2097,2687.73095703125
2098,2687.883056640625
2099,2688.18798828125
2100,2688.26806640625
2101,2688.26806640625
2102,2688.549072265625
2103,2688.823974609375
2104,2689.047119140625
2105,2689.323974609375
2106,2689.323974609375
2107,2689.404052734375
2108,2689.444091796875
2109,2689.49609375
2110,2689.535888671875
2111,2689.535888671875
2112,2689.43408203125
2113,2689.43798828125
2114,2689.485107421875
2115,2689.87109375
2116,2689.928955078125
2117,2690.056884765625
2118,2689.97998046875
2119,2689.7890625
2120,2689.780029296875
2121,2689.926025390625
2122,2689.93896484375
2123,2689.97412109375
2124,2690.02392578125
2125,2689.875
2126,2689.9140625
2127,2690.06396484375
2128,2690.10205078125
2129,2690.193115234375
2130,2690.0849609375
2131,2689.83203125
2132,2689.822998046875
2133,2689.68310546875
2134,2689.985107421875
2135,2689.820068359375
2136,2689.868896484375
2137,2689.993896484375
2138,2689.988037109375
2139,2689.988037109375
2140,2690.118896484375
2141,2690.166015625
2142,2690.35009765625
2143,2690.39794921875
2144,2690.39794921875
2145,2690.6201171875
2146,2690.486083984375
2147,2690.592041015625
2148,2690.593994140625
2149,2690.512939453125
2150,2690.553955078125
2151,2690.590087890625
2152,2690.695068359375
2153,2690.97900390625
2154,2690.955078125
2155,2691.10791015625
2156,2691.237060546875
2157,2691.405029296875
2158,2691.56005859375
2159,2691.65087890625
2160,2691.93994140625
2161,2692.277099609375
2162,2692.39111328125
2163,2692.452880859375
2164,2693.069091796875
2165,2693.52587890625
2166,2694.050048828125
2167,2694.322021484375
2168,2694.3349609375
2169,2694.62109375
2170,2694.97412109375
2171,2695.324951171875
2172,2695.381103515625
2173,2695.35107421875
2174,2695.637939453125
2175,2695.950927734375
2176,2696.333984375
2177,2696.5439453125
2178,2696.591064453125
2179,2696.923095703125
2180,2697.10400390625
2181,2697.4990234375
2182,2697.492919921875
2183,2698.14404296875
2184,2698.8779296875
2185,2699.548095703125
2186,2700.301025390625
2187,2700.10693359375
2188,2700.8798828125
2189,2701.458984375
2190,2701.708984375
2191,2701.970947265625
2192,2702.282958984375
2193,2702.906005859375
2194,2703.837890625
2195,2704.0830078125
2196,2704.52001953125
2197,2704.6630859375
2198,2704.95703125
2199,2705.282958984375
2200,2705.429931640625
2201,2705.5380859375
2202,2705.7080078125
2203,2705.751953125
2204,2705.89208984375
2205,2705.98193359375
2206,2706.031005859375
2207,2706.193115234375
2208,2706.4140625
2209,2707.322998046875
2210,2708.15087890625
2211,2708.15087890625
2212,2708.467041015625
2213,2708.75390625
2214,2708.840087890625
2215,2708.7060546875
2216,2708.7060546875
2217,2708.784912109375
2218,2708.659912109375
2219,2708.784912109375
2220,2708.7890625
2221,2708.7890625
2222,2708.801025390625
2223,2708.751953125
2224,2708.693115234375
2225,2708.741943359375
2226,2708.7890625
2227,2708.907958984375
2228,2709.14794921875
2229,2709.591064453125
2230,2709.718017578125
2231,2710.31298828125
2232,2711.14990234375
2233,2711.590087890625
2234,2712.175048828125
2235,2712.402099609375
2236,2712.736083984375
2237,2713.18310546875
2238,2713.375
2239,2713.81103515625
2240,2713.930908203125
2241,2714.089111328125
2242,2714.506103515625
2243,2714.962890625
2244,2714.962890625
2245,2715.458984375
2246,2715.883056640625
2247,2716.39990234375
2248,2716.919921875
2249,2716.919921875
2250,2717.52197265625
2251,2717.8701171875
2252,2718.31201171875
2253,2718.7509765625
2254,2718.7509765625
2255,2719.093017578125
2256,2719.35693359375
2257,2719.675048828125
2258,2720.008056640625
2259,2720.008056640625
2260,2720.15087890625
2261,2720.135986328125
2262,2720.14306640625
2263,2720.068115234375
2264,2720.068115234375
2265,2720.02490234375
2266,2719.97802734375
2267,2719.9150390625
2268,2719.864013671875
2269,2719.862060546875
2270,2719.98095703125
2271,2720.007080078125
2272,2720.076904296875
2273,2720.09912109375
2274,2720.14404296875
2275,2720.153076171875
2276,2720.416015625
2277,2720.739990234375
2278,2720.72509765625
2279,2721.18408203125
2280,2721.364990234375
2281,2721.93310546875
2282,2722.427001953125
2283,2722.552001953125
2284,2722.860107421875
2285,2723.2060546875
2286,2723.552001953125
2287,2723.552001953125
2288,2723.89697265625
2289,2724.2041015625
2290,2724.51904296875
2291,2724.81298828125
2292,2724.81298828125
2293,2724.93603515625
2294,2724.925048828125
2295,2724.971923828125
2296,2725.02099609375
2297,2725.02099609375
2298,2725.472900390625
2299,2725.696044921875
2300,2726.054931640625
2301,2726.426025390625
2302,2726.426025390625
2303,2726.75
2304,2726.868896484375
2305,2726.905029296875
2306,2726.93310546875
2307,2726.93310546875
2308,2726.971923828125
2309,2726.968994140625
2310,2727.0
2311,2727.014892578125
2312,2726.985107421875
2313,2727.01611328125
2314,2726.9970703125
2315,2727.012939453125
2316,2727.01904296875
2317,2726.968017578125
2318,2726.781005859375
2319,2727.10888671875
2320,2727.424072265625
2321,2727.47998046875
2322,2727.794921875
2323,2728.35498046875
2324,2729.030029296875
2325,2729.51806640625
2326,2729.64111328125
2327,2730.10888671875
2328,2730.6689453125
2329,2731.261962890625
2330,2731.261962890625
2331,2731.89599609375
2332,2732.344970703125
2333,2732.625
2334,2733.008056640625
2335,2733.008056640625
2336,2733.39599609375
2337,2733.784912109375
2338,2733.972900390625
2339,2734.35498046875
2340,2734.35498046875
2341,2734.5009765625
2342,2734.40087890625
2343,2734.285888671875
2344,2734.2119140625
2345,2734.2119140625
2346,2733.9970703125
2347,2733.907958984375
2348,2733.865966796875
2349,2733.919921875
2350,2733.84912109375
2351,2733.885986328125
2352,2734.262939453125
2353,2734.60693359375
2354,2734.678955078125
2355,2735.006103515625
2356,2735.574951171875
2357,2736.14599609375
2358,2736.471923828125
2359,2736.618896484375
2360,2736.822021484375
2361,2737.117919921875
2362,2737.5048828125
2363,2737.537109375
2364,2737.60888671875
2365,2737.7529296875
2366,2737.843994140625
2367,2738.282958984375
2368,2738.6630859375
2369,2738.844970703125
2370,2739.406982421875
2371,2739.73193359375
2372,2739.672119140625
2373,2739.672119140625
2374,2739.549072265625
2375,2739.697021484375
2376,2739.882080078125
2377,2740.114013671875
2378,2740.114013671875
2379,2740.4541015625
2380,2740.7939453125
2381,2741.154052734375
2382,2741.4990234375
2383,2741.4990234375
2384,2742.0
2385,2742.5009765625
2386,2742.989013671875
